#chrom	pos	AAAA	AABA	ABAA	ABBA	BAAA	BABA	BBAA	BBBA	Other
1	52999895	497878	832	1712	133	1623	124	216	1200	2133
1	53499894	497985	811	1759	108	1532	155	159	1269	1993
1	53999893	497095	910	1920	147	1606	164	197	1384	2970
1	54499892	497313	812	1882	198	1714	170	157	1494	2634
1	54999891	497048	927	1952	167	1724	186	245	1442	2964
1	55499890	496732	803	1949	172	1714	159	192	1241	3256
1	55999889	497380	841	2033	170	1801	244	161	1211	2629
1	56499888	497865	777	1673	124	1521	132	216	961	2286
1	56999887	497837	735	1485	112	1445	112	127	1400	2058
1	57499886	497820	764	1558	111	1402	67	151	938	2181
1	57999885	498328	761	1632	146	1546	98	129	961	1681
1	58499884	498132	690	1587	96	1318	69	103	889	1799
1	58999883	498233	675	1671	111	1509	137	89	1080	1845
1	59499882	497890	800	1574	161	1397	111	128	1022	2031
1	59999881	497647	657	1487	105	1413	127	75	984	2383
1	60499880	497694	721	1563	129	1317	128	77	783	2284
1	60999879	498415	722	1477	125	1455	75	107	835	1617
1	61499878	497871	739	1546	111	1410	81	137	913	2098
1	61999877	498369	708	1546	79	1460	111	99	1116	1699
1	62499876	497893	835	1635	108	1492	120	152	1146	2054
1	62999875	497799	735	1605	71	1368	134	117	1345	2182
1	63499874	498007	797	1680	117	1494	94	191	1507	2014
1	63999873	497843	829	1575	136	1520	141	114	1296	2191
1	64499872	498009	691	1590	128	1467	137	104	1040	1975
1	64999871	498030	639	1503	97	1353	107	86	1182	1925
1	65499870	498147	698	1639	97	1421	109	87	1326	1881
1	65999869	497811	726	1621	161	1448	204	117	1131	2177
1	66499868	497826	755	1720	81	1408	104	219	1022	2151
1	66999867	497694	726	1536	132	1342	121	177	1107	2370
1	67499866	498149	712	1596	118	1361	105	129	997	1900
1	67999865	497460	660	1571	101	1351	118	89	1539	2482
1	68499864	497235	757	1719	110	1439	194	105	1287	2710
1	68999863	497896	656	1520	80	1294	72	128	1348	2513
1	69499862	496929	921	2095	183	2036	180	272	1669	2697
1	69999861	497710	780	1656	87	1538	82	159	1282	2403
1	70499860	497718	825	1600	90	1521	90	181	989	2156
1	70999859	498478	738	1758	81	1512	104	154	1008	1723
1	71499858	498035	584	1517	45	1249	30	67	1140	1806
1	71999857	497828	794	1866	150	1665	149	153	1289	2121
1	72499856	497835	820	1783	123	1602	123	139	1158	2307
1	72999855	498009	788	1737	135	1584	116	124	958	1848
1	73499854	497838	674	1575	91	1509	60	62	1037	2174
1	73999853	498276	699	1722	65	1595	125	149	1026	1769
1	74499852	498333	795	1728	129	1602	117	143	1102	1652
1	74999851	497641	893	1698	152	1542	141	151	1159	2419
1	75499850	497728	755	1596	115	1491	73	109	1002	2289
1	75999849	497819	899	1678	136	1535	104	167	1102	2067
1	76499848	498285	820	1636	93	1537	91	124	1018	1702
1	76999847	497793	795	1713	120	1568	179	144	1176	2208
1	77499846	498340	696	1604	111	1417	107	89	1261	1713
1	77999845	497958	721	1581	190	1411	128	119	1191	1995
1	78499844	497703	763	1551	179	1520	107	145	1148	2351
1	78999843	498015	710	1607	97	1513	118	112	1118	1961
1	79499842	498292	723	1719	87	1472	140	134	1173	1825
1	79999841	497670	838	1746	126	1545	135	91	1037	2221
1	80499840	498223	709	1503	54	1374	101	83	1077	1758
1	80999839	497816	680	1546	100	1304	119	51	1283	2156
1	81499838	498167	790	1799	156	1569	145	125	995	1915
1	81999837	497916	838	1701	132	1586	141	174	970	2034
1	82499836	497986	774	1680	86	1516	119	141	1217	2005
1	82999835	497913	883	1710	137	1602	142	142	1090	2140
1	83499834	497921	836	1623	107	1521	113	155	1176	2132
1	83999833	497636	745	1525	146	1382	118	159	1164	2321
1	84499832	498045	694	1569	119	1501	101	117	1275	1909
1	84999831	497911	760	1687	109	1521	116	145	1265	2072
1	85499830	496902	868	1580	118	1405	153	170	1456	3153
1	85999829	498049	855	1850	196	1544	165	186	1088	2055
1	86499828	498085	778	1679	147	1584	155	162	1218	1955
1	86999827	497665	735	1818	105	1513	169	123	1121	2116
1	87499826	497779	748	1683	89	1537	104	136	1302	2261
1	87999825	497098	736	1829	150	1538	134	144	1038	3033
1	88499824	497832	753	1688	123	1557	124	110	1133	2009
1	88999823	497796	880	1771	108	1613	162	174	1120	2187
1	89499822	497624	830	1862	136	1591	167	212	1214	2398
1	89999821	498275	749	1666	104	1547	132	137	1064	1815
1	90499820	498100	842	1811	128	1609	127	139	1036	1891
1	90999819	498012	799	1751	113	1570	106	218	908	1910
1	91499818	498612	741	1675	83	1517	87	136	771	1743
1	91999817	498110	698	1870	75	1527	90	163	816	1594
1	92499816	498556	623	1639	83	1610	79	47	976	1505
1	92999815	497253	792	1635	54	1330	110	136	1287	2663
1	93499814	498261	668	1637	137	1488	108	95	905	1865
1	93999813	498054	868	1804	153	1555	149	213	890	1812
1	94499812	497827	817	1792	181	1576	151	144	974	2148
1	94999811	497636	747	1879	146	1653	196	129	995	2378
1	95499810	497722	822	1801	221	1572	89	134	850	2257
1	95999809	497673	920	1981	179	1740	260	253	1214	2340
1	96499808	496930	716	1872	184	1608	180	171	1455	3063
1	96999807	497556	922	1859	162	1577	117	225	1511	2445
1	97499806	497764	676	1632	91	1384	160	82	1487	2220
1	97999805	497527	565	1510	70	1370	54	145	1062	2478
1	98499804	497520	581	1551	45	1347	112	82	1035	2580
1	98999803	497569	616	1608	61	1429	82	116	1191	2481
1	99499802	497310	665	1650	33	1386	97	78	1026	2570
1	99999801	497930	618	1742	26	1406	96	166	859	2282
1	100499800	497699	640	1589	31	1370	26	474	805	2094
1	100999799	497820	648	1580	57	1403	46	156	744	2130
1	101499798	497431	760	1604	23	1391	12	338	851	2588
1	101999797	497494	763	1512	12	1372	21	333	609	2681
1	102499796	496960	902	1749	77	1712	117	318	896	2918
1	102999795	671952	563	1393	77	1235	102	132	657	3326
1	103499794	322820	487	1144	103	1011	52	70	602	1964
1	103999793	496053	1168	1771	289	1635	308	291	1440	3911
1	104499792	497285	794	1611	94	1423	106	186	1071	2679
1	104999791	497808	779	1773	86	1474	101	127	978	2503
1	105499790	496999	788	1746	117	1557	106	147	1168	2677
1	105999789	497256	633	1592	104	1429	80	114	1035	2729
1	106499788	497361	644	1514	70	1347	72	99	1268	2679
1	106999787	496509	595	1602	65	1357	91	96	1225	3459
1	107499786	496728	700	1557	116	1360	98	106	1127	3254
1	107999785	497224	723	1510	84	1343	102	127	1096	2844
1	108499784	496777	618	1601	88	1401	85	87	1378	3172
1	108999783	496808	755	1566	72	1412	91	189	1268	3227
1	109499782	497191	647	1494	30	1322	38	118	1130	2732
1	109999781	497663	637	1491	66	1322	47	113	941	2651
1	110499780	496887	805	1704	143	1671	94	151	1288	2976
1	110999779	497009	941	1739	94	1503	83	261	1129	2835
1	111499778	496897	770	1763	271	1731	115	199	1170	3117
1	111999777	497434	652	1583	61	1379	49	197	870	2579
1	112499776	496910	588	1899	53	1443	241	57	1278	3082
1	112999775	497155	641	1546	63	1269	83	111	1106	2812
1	113499774	497540	694	1574	85	1353	54	174	1295	2683
1	113999773	496813	680	1584	74	1278	82	156	1345	3122
1	114499772	497348	765	1559	106	1456	50	195	1317	2782
1	114999771	497380	797	1627	112	1397	82	148	925	2616
1	115499770	497050	720	1516	42	1369	47	226	1047	2688
1	115999769	496901	807	1516	80	1362	61	268	1271	3264
1	116499768	496746	733	1633	128	1500	68	238	922	3062
1	116999767	497182	757	1764	84	1509	134	207	913	3000
1	117499766	496594	907	1634	100	1481	85	194	1243	3265
1	117999765	496914	900	1667	142	1433	146	181	1165	3065
1	118499764	496670	711	1688	194	1514	136	170	1064	3502
1	118999763	496798	882	1718	143	1534	155	223	1042	3086
1	119499762	496677	839	1749	130	1609	162	195	1033	3276
1	119999761	496627	841	1846	190	1564	191	213	1014	3376
1	120499760	496208	901	1911	181	1664	206	224	1220	3761
1	120999759	495105	750	1517	172	1393	178	178	984	5453
1	121499758	494239	804	1477	171	1392	212	183	945	5204
1	121999757	495575	1110	1911	258	1668	250	326	1261	4473
1	122499756	177665	295	657	48	639	23	46	347	688
2	122999755	493439	104	58	4	50	9	9	35	6577
2	123499754	494831	37	21	0	12	4	4	8	5526
2	123999753	493675	54	29	0	19	5	3	38	6012
2	124499752	493918	50	19	3	17	1	1	11	6022
2	124999751	493876	57	22	1	18	0	7	13	6166
2	125499750	493761	22	12	2	16	1	2	11	6208
2	125999749	494472	8	7	0	8	0	1	2	5632
2	126499748	493583	65	42	3	45	6	6	30	6467
2	126999747	492527	43	17	3	22	1	2	14	7349
2	127499746	493717	40	27	2	17	3	4	11	6374
2	127999745	493682	20	12	0	9	1	3	8	6301
2	128499744	492954	32	19	0	9	3	8	16	6952
2	128999743	493551	58	34	4	22	2	2	37	6434
2	129499742	494691	25	11	0	6	0	0	3	5409
2	129999741	494030	69	26	4	30	3	3	21	5885
2	130499740	493573	32	19	1	16	1	4	10	6532
2	130999739	493834	28	16	1	19	1	3	16	6068
2	131499738	494006	15	6	0	3	1	0	3	6153
2	131999737	493249	26	16	1	12	2	0	11	6834
2	132499736	493246	24	5	0	15	0	0	24	6532
2	132999735	493982	31	18	2	11	1	5	10	6049
2	133499734	493874	32	16	0	23	1	2	30	6061
2	133999733	494090	30	11	0	13	0	1	12	6001
2	134499732	492935	24	15	0	15	1	2	12	6969
2	134999731	493634	24	33	5	14	1	1	17	6517
2	135499730	493333	33	6	1	16	1	0	17	6518
2	135999729	491873	31	19	2	27	3	2	36	8120
2	136499728	492445	38	21	1	11	1	2	11	7623
2	136999727	491981	70	52	5	41	7	6	47	8077
2	137499726	492609	67	52	8	48	5	7	53	7291
2	137999725	493900	26	4	0	2	0	0	4	6169
2	138499724	493679	12	10	1	2	1	1	1	6290
2	138999723	493205	20	9	2	4	1	2	7	6763
2	139499722	492666	22	11	3	13	0	1	4	7362
2	139999721	493377	26	9	0	4	0	0	2	6669
2	140499720	492149	69	65	4	63	6	7	47	7860
2	140999719	493079	58	37	2	48	1	2	30	6842
2	141499718	494084	15	10	1	5	2	0	3	5897
2	141999717	493536	13	4	1	8	0	0	15	6602
2	142499716	493736	18	2	0	5	0	1	17	6168
2	142999715	493009	13	14	7	21	3	1	20	6937
2	143499714	493738	21	14	2	19	0	0	17	6435
2	143999713	493191	13	11	1	2	0	1	7	6711
2	144499712	493222	22	13	2	16	4	1	14	6701
2	144999711	493394	9	2	1	0	0	0	6	6690
2	145499710	492813	6	4	0	3	0	0	2	7185
2	145999709	493182	33	14	2	7	1	0	17	7211
2	146499708	491920	33	23	6	26	0	1	18	7649
2	146999707	493378	20	7	0	7	2	1	4	6709
2	147499706	492607	21	4	1	4	1	0	6	7335
2	147999705	492554	12	1	0	2	1	0	4	7387
2	148499704	492864	11	3	0	7	1	5	10	7117
2	148999703	492713	18	5	1	3	0	0	2	7309
2	149499702	492092	14	1	0	3	0	0	3	7902
2	149999701	493348	11	3	0	3	0	0	3	6828
2	150499700	492922	2	1	0	0	0	1	0	6891
2	150999699	493299	16	5	0	4	1	1	1	6771
2	151499698	492328	21	5	0	1	0	2	4	7603
2	151999697	492976	19	5	0	3	0	1	8	7045
2	152499696	492710	32	9	0	7	1	6	7	7262
2	152999695	492731	17	1	0	3	0	0	3	7316
2	153499694	492069	9	9	4	14	0	0	12	7897
2	153999693	492184	16	8	1	5	0	0	4	7818
2	154499692	491414	8	5	1	2	0	0	2	8596
2	154999691	491450	28	5	1	1	0	4	2	8531
2	155499690	491417	12	4	1	3	0	2	3	8595
2	155999689	491931	10	1	0	0	2	1	8	8050
2	156499688	491217	3	4	0	13	1	0	7	8817
2	156999687	492195	4	2	0	1	1	1	2	7799
2	157499686	492902	14	5	1	5	0	0	7	7173
2	157999685	493247	9	2	0	1	0	1	0	6675
2	158499684	494067	19	16	2	12	0	2	10	6063
2	158999683	493735	19	14	2	15	1	1	16	6186
2	159499682	493203	30	8	0	16	2	0	27	6799
2	159999681	493464	33	15	1	8	0	1	20	6470
2	160499680	493638	13	3	0	4	0	1	1	6390
2	160999679	493149	29	34	1	27	6	3	19	6891
2	161499678	493125	15	1	0	3	0	1	6	6856
2	161999677	492637	29	21	5	28	6	5	26	7430
2	162499676	492863	32	27	3	23	2	3	15	7013
2	162999675	492904	22	25	0	21	2	1	21	7098
2	163499674	493155	10	6	1	8	1	3	4	6844
2	163999673	493131	14	17	1	14	1	1	4	6892
2	164499672	492780	21	7	0	3	1	1	5	7292
2	164999671	492893	35	21	2	21	2	1	14	7034
2	165499670	493673	49	19	10	26	4	0	10	6351
2	165999669	493591	33	18	1	20	2	3	26	6396
2	166499668	494069	21	25	0	20	1	1	15	5982
2	166999667	492603	57	31	8	30	1	7	21	7318
2	167499666	492350	38	29	1	22	1	0	29	7654
2	167999665	493059	7	7	1	7	1	2	14	6942
2	168499664	492951	11	8	0	1	0	0	5	7070
2	168999663	493782	12	8	0	7	0	0	8	6286
2	169499662	494488	34	27	3	24	1	2	16	5593
2	169999661	493648	17	6	0	8	2	0	8	6217
2	170499660	494148	9	3	0	2	0	0	3	5943
2	170999659	493054	22	9	2	9	0	1	4	6900
2	171499658	493139	15	6	1	1	1	0	11	6870
2	171999657	492093	35	23	4	18	3	3	36	7849
2	172499656	493133	20	31	1	27	1	1	19	6974
2	172999655	492705	52	65	2	58	4	9	53	7166
2	173499654	493608	15	17	0	22	2	0	10	6438
2	173999653	494452	14	11	0	16	0	0	10	5665
2	174499652	493622	4	1	0	4	1	0	2	6513
2	174999651	492116	13	2	2	2	0	0	2	7611
2	175499650	493620	21	9	0	2	0	1	11	6510
2	175999649	492717	21	5	1	7	2	1	7	7123
2	176499648	492567	20	9	0	17	1	2	12	7489
2	176999647	492603	49	19	0	25	3	1	25	7490
2	177499646	492236	9	2	0	1	0	0	5	7740
2	177999645	492349	12	4	2	1	1	1	3	7541
2	178499644	492663	73	28	4	33	1	5	36	7416
2	178999643	491300	15	12	2	8	0	2	11	8617
2	179499642	490990	20	18	1	7	6	1	4	9008
2	179999641	490089	66	38	9	34	4	9	42	9908
2	180499640	491455	91	41	10	50	8	7	50	8551
2	180999639	493278	30	6	0	6	1	3	4	6925
2	181499638	491978	6	4	0	0	0	0	1	7789
2	181999637	492500	7	7	0	9	0	2	4	7533
2	182499636	493278	7	12	0	8	0	2	6	6831
2	182999635	492610	18	13	1	4	0	0	3	7269
2	183499634	492281	10	7	1	6	0	1	4	7715
2	183999633	492329	7	2	0	2	0	0	1	7657
2	184499632	493296	10	0	0	0	0	1	2	6736
2	184999631	494321	5	3	1	8	3	0	1	5654
2	185499630	493102	7	2	0	3	1	0	1	6946
2	185999629	493227	0	4	0	3	0	0	6	6754
2	186499628	492860	14	7	1	6	1	0	8	7309
2	186999627	492282	8	9	1	5	1	0	5	7583
2	187499626	493031	16	3	1	5	0	1	1	7047
2	187999625	493180	30	19	0	10	1	0	7	6693
2	188499624	492736	1	2	0	2	0	0	0	7392
2	188999623	492759	14	13	0	13	1	0	10	7181
2	189499622	493068	17	19	1	9	5	1	8	6870
2	189999621	493666	16	4	0	1	0	0	2	6416
2	190499620	493432	36	14	0	25	0	0	17	6458
2	190999619	493073	10	3	1	1	0	0	2	6958
2	191499618	492459	43	8	0	3	2	3	11	7675
2	191999617	493530	32	4	4	4	0	1	4	6357
2	192499616	492735	20	1	0	6	0	1	0	7255
2	192999615	491276	6	0	0	0	0	0	0	8746
2	193499614	490697	10	0	1	2	0	1	10	9314
2	193999613	492361	2	2	2	2	0	0	1	7682
2	194499612	492887	40	2	1	3	1	0	4	7015
2	194999611	491943	30	9	0	18	0	1	7	8075
2	195499610	493202	26	10	0	5	0	2	7	6911
2	195999609	493098	11	4	2	6	0	3	4	6881
2	196499608	492782	18	4	0	6	0	0	1	7200
2	196999607	492277	8	4	0	3	1	4	1	7615
2	197499606	492744	10	4	0	4	0	0	1	7372
2	197999605	492024	34	7	1	2	0	2	6	7920
2	198499604	492660	15	5	0	3	0	0	6	7428
2	198999603	492805	10	2	1	2	0	0	6	7183
2	199499602	492321	0	0	0	0	0	0	0	7726
2	199999601	492920	15	3	1	2	4	1	8	7006
2	200499600	492854	38	3	0	14	3	1	5	7056
2	200999599	492602	12	5	0	3	2	3	2	7477
2	201499598	491258	1	4	1	9	1	0	5	8637
2	201999597	492408	20	6	0	8	1	0	5	7821
2	202499596	490553	4	3	0	0	0	0	1	9221
2	202999595	490389	5	5	0	2	0	0	2	9611
2	203499594	490468	6	1	0	1	0	0	2	9549
2	203999593	492110	27	6	0	14	0	0	4	7889
2	204499592	492562	20	13	0	3	0	0	1	7438
2	204999591	490922	10	4	1	3	0	0	6	9064
2	205499590	490640	12	7	0	4	0	1	3	9372
2	205999589	493302	18	4	1	6	0	0	5	9095
2	206499588	489072	13	0	0	6	0	1	3	8586
2	206999587	491980	9	5	0	4	0	0	1	8016
2	207499586	491042	15	2	1	1	0	0	0	8955
2	207999585	420739	9	3	0	0	0	0	2	5709
3	208499584	482275	68	92	15	84	11	14	77	17840
3	208999583	494014	29	11	0	11	2	4	7	6089
3	209499582	493557	10	13	0	5	4	0	2	6231
3	209999581	494050	23	15	2	10	2	2	21	6019
3	210499580	493063	1	15	1	4	2	0	8	6950
3	210999579	493522	5	2	0	0	0	0	6	6429
3	211499578	493829	16	3	0	1	0	0	12	6177
3	211999577	493801	26	5	1	8	0	0	9	6264
3	212499576	493254	16	5	6	3	0	1	4	6876
3	212999575	493521	10	8	1	10	0	2	26	6254
3	213499574	493828	27	9	2	10	1	2	18	6249
3	213999573	493340	10	12	0	15	0	2	5	6586
3	214499572	493360	8	0	2	2	0	0	3	6670
3	214999571	493291	17	3	0	1	0	1	0	6687
3	215499570	493925	27	21	1	22	1	6	18	6203
3	215999569	493406	8	5	0	4	1	1	3	6442
3	216499568	493858	11	0	1	3	0	0	1	6231
3	216999567	493554	10	5	2	10	1	0	3	6356
3	217499566	492881	21	14	0	7	3	1	9	7120
3	217999565	493508	35	15	3	22	0	2	11	6522
3	218499564	493184	32	20	2	21	0	1	5	7018
3	218999563	492446	15	15	3	15	0	0	7	7356
3	219499562	493295	28	15	2	12	1	1	23	6757
3	219999561	493002	27	6	2	2	1	2	10	6919
3	220499560	493353	45	29	3	19	2	0	17	6646
3	220999559	493494	37	18	2	17	3	0	18	6516
3	221499558	493241	23	6	1	13	0	0	10	6750
3	221999557	493259	14	21	0	17	1	0	18	6789
3	222499556	493241	7	1	0	5	0	0	0	6811
3	222999555	493755	11	5	0	2	0	0	4	6241
3	223499554	493977	10	4	1	7	2	0	5	5992
3	223999553	494116	11	2	1	5	0	0	7	5842
3	224499552	493988	10	8	0	11	1	3	5	6020
3	224999551	493266	11	13	0	8	0	2	7	6828
3	225499550	493630	8	7	1	2	1	1	21	6372
3	225999549	493638	35	16	2	15	2	4	15	6239
3	226499548	493819	40	0	0	3	1	0	3	6243
3	226999547	494365	30	13	1	12	2	4	17	5781
3	227499546	493961	22	7	0	13	0	0	18	5970
3	227999545	494485	1	0	0	1	0	0	0	5716
3	228499544	493491	12	2	0	8	1	1	6	6189
3	228999543	493911	9	13	3	6	1	1	10	6103
3	229499542	493674	17	8	0	17	2	1	11	6302
3	229999541	493424	11	8	1	1	0	1	13	6677
3	230499540	493043	26	21	0	11	3	5	25	6868
3	230999539	492855	42	41	6	26	6	8	32	7323
3	231499538	492987	4	8	0	14	1	2	17	6891
3	231999537	492954	17	7	0	8	1	0	10	6957
3	232499536	493998	4	6	0	1	0	1	2	6076
3	232999535	493316	27	13	2	12	0	2	10	6634
3	233499534	493733	24	7	2	4	1	2	3	6271
3	233999533	494280	27	3	1	4	0	0	3	5879
3	234499532	492636	21	8	2	10	0	6	11	7213
3	234999531	492927	36	17	1	17	1	0	4	7063
3	235499530	493721	14	12	0	15	0	1	8	6287
3	235999529	492832	30	3	0	5	1	1	9	7142
3	236499528	492759	34	4	1	9	1	3	24	7284
3	236999527	494169	28	5	0	2	0	0	1	6026
3	237499526	493103	36	35	1	32	6	5	26	6892
3	237999525	492366	20	2	0	2	1	0	1	7441
3	238499524	492823	26	10	0	8	1	6	10	7221
3	238999523	493301	43	1	0	3	1	3	12	6611
3	239499522	489922	114	75	12	92	10	13	54	10084
3	239999521	490951	67	66	6	58	6	10	58	9045
3	240499520	491929	64	40	5	33	0	2	22	8163
3	240999519	491588	89	44	6	38	5	7	40	8330
3	241499518	491802	54	36	3	25	4	2	21	8381
3	241999517	492288	21	13	0	9	2	3	6	7582
3	242499516	492616	68	30	4	44	3	10	33	7373
3	242999515	492219	32	36	0	25	3	5	34	7746
3	243499514	492713	57	53	5	45	7	7	41	7599
3	243999513	492000	64	17	5	24	2	4	31	7716
3	244499512	492130	83	60	4	65	6	9	53	7885
3	244999511	491448	74	48	2	48	11	8	46	8489
3	245499510	492446	75	63	1	51	4	6	36	7593
3	245999509	493181	18	10	1	11	1	1	7	6778
3	246499508	492695	31	24	3	22	4	1	33	7404
3	246999507	492632	48	31	3	37	3	2	20	7316
3	247499506	493547	23	19	0	10	1	0	9	6586
3	247999505	493360	15	9	1	13	1	1	16	6652
3	248499504	493802	20	8	0	2	1	1	13	6023
3	248999503	493413	25	25	1	14	2	3	21	6589
3	249499502	493724	49	33	2	31	3	1	31	6320
3	249999501	493952	2	0	0	2	0	0	0	6002
3	250499500	493169	26	13	1	15	2	2	17	6906
3	250999499	492997	27	8	2	7	0	0	5	6951
3	251499498	492798	20	3	0	1	0	3	5	7214
3	251999497	493026	19	30	1	17	0	1	15	6947
3	252499496	493389	15	4	0	5	0	4	11	6642
3	252999495	493693	17	13	1	11	0	1	4	6289
3	253499494	493865	8	14	0	10	2	1	4	6301
3	253999493	493227	2	2	0	0	0	0	0	6607
3	254499492	492881	45	24	3	26	1	1	22	7182
3	254999491	492847	27	5	0	6	2	0	9	7160
3	255499490	493182	58	12	0	13	0	1	13	6807
