#chrom	pos	AAAA	AABA	ABAA	ABBA	BAAA	BABA	BBAA	BBBA	BBBA
SIM418	0	3918	178	179	30	157	8	4	25	25
SIM419	0	3928	161	160	38	168	4	4	7	7
SIM420	0	3973	171	156	42	152	4	5	8	8
SIM421	0	3951	155	169	32	162	3	6	9	9
SIM422	0	3948	184	155	33	153	11	0	13	13
SIM423	0	3997	178	158	40	150	3	0	6	6
SIM424	0	3938	175	170	33	174	3	3	8	8
SIM425	0	3945	184	157	32	172	6	7	12	12
SIM426	0	3978	150	160	29	170	3	6	7	7
SIM427	0	3910	181	157	34	192	4	4	14	14
SIM428	0	3957	180	175	17	196	6	5	6	6
SIM429	0	3942	153	170	37	173	3	12	12	12
SIM430	0	3949	164	169	31	168	6	0	6	6
SIM431	0	3963	166	164	30	166	5	6	15	15
SIM432	0	3927	183	158	39	179	10	4	8	8
SIM433	0	3928	178	140	33	173	6	6	8	8
SIM434	0	3920	162	171	32	158	6	3	10	10
SIM435	0	3969	154	170	19	194	10	2	8	8
SIM436	0	3951	165	160	27	165	5	9	19	19
SIM437	0	3945	160	172	32	160	2	4	7	7
SIM438	0	3972	158	182	27	152	11	6	8	8
SIM439	0	3920	178	185	26	164	6	4	2	2
SIM440	0	3935	166	161	34	169	3	2	8	8
SIM441	0	3970	154	181	22	188	3	11	9	9
SIM442	0	3983	146	165	56	149	0	3	5	5
SIM443	0	4002	148	146	39	178	3	2	18	18
SIM444	0	3857	189	167	30	170	2	9	12	12
SIM445	0	3940	174	174	25	158	8	5	15	15
SIM446	0	3992	174	164	38	173	3	5	15	15
SIM447	0	3913	192	172	19	171	6	3	5	5
SIM448	0	3916	183	155	12	173	3	8	7	7
SIM449	0	3961	157	169	32	168	2	8	9	9
SIM450	0	3994	150	160	31	147	8	2	8	8
SIM451	0	3879	183	174	15	194	7	9	8	8
SIM452	0	3904	165	193	23	174	4	9	6	6
SIM453	0	3995	161	171	21	151	2	6	8	8
SIM454	0	3985	167	164	20	146	0	7	8	8
SIM455	0	3975	177	169	21	154	6	6	7	7
SIM456	0	3967	177	174	15	176	2	7	6	6
SIM457	0	3932	157	185	39	167	4	8	6	6
SIM458	0	3950	182	156	31	167	4	1	10	10
SIM459	0	3958	182	176	32	147	1	1	2	2
SIM460	0	3941	180	176	34	153	14	8	9	9
SIM461	0	3985	188	169	33	162	0	2	7	7
SIM462	0	3989	164	171	21	152	1	1	10	10
SIM463	0	3902	180	169	24	178	2	0	5	5
SIM464	0	3917	164	165	41	178	1	1	9	9
SIM465	0	3984	162	165	22	168	4	4	10	10
SIM466	0	4054	129	143	29	163	4	2	7	7
SIM467	0	3955	148	159	26	164	4	2	11	11
SIM468	0	3975	167	183	32	144	7	5	12	12
SIM469	0	3958	179	153	42	180	5	4	4	4
SIM470	0	3965	168	158	24	170	6	5	10	10
SIM471	0	3964	171	147	35	162	4	9	15	15
SIM472	0	3929	189	172	14	164	6	5	9	9
SIM473	0	3964	168	148	33	181	12	6	6	6
SIM474	0	3923	155	174	40	164	7	5	8	8
SIM475	0	3959	184	172	41	156	1	1	13	13
SIM476	0	3980	151	162	31	179	5	7	7	7
SIM477	0	3913	175	196	29	163	9	3	6	6
SIM478	0	3928	162	181	27	200	1	4	12	12
SIM479	0	3965	176	164	39	147	3	5	12	12
SIM480	0	4001	147	162	36	173	3	4	21	21
SIM481	0	3966	196	168	35	163	1	2	5	5
SIM482	0	3985	146	161	28	182	3	6	8	8
SIM483	0	3962	179	174	25	157	5	7	12	12
SIM484	0	3900	176	192	33	171	2	8	8	8
SIM485	0	3938	192	185	19	171	5	7	8	8
SIM486	0	4017	165	174	20	169	2	3	9	9
SIM487	0	3930	159	162	36	184	4	13	14	14
SIM488	0	3997	165	175	20	149	0	5	11	11
SIM489	0	4006	150	151	27	175	5	6	9	9
SIM490	0	3952	166	171	23	176	8	5	12	12
SIM491	0	3965	168	172	19	166	4	1	10	10
SIM492	0	3934	177	167	29	168	8	4	17	17
SIM493	0	4017	159	161	19	146	4	1	18	18
SIM494	0	3898	158	177	40	220	4	4	14	14
SIM495	0	3957	166	139	33	154	3	9	4	4
SIM496	0	3975	173	175	26	164	1	4	8	8
SIM497	0	3927	184	164	30	149	2	8	6	6
SIM498	0	3972	156	181	30	164	2	2	2	2
SIM499	0	3908	181	183	41	153	6	7	9	9
SIM500	0	3957	178	159	25	174	3	3	8	8
SIM501	0	3929	171	167	29	158	1	4	4	4
SIM502	0	3959	153	162	27	165	4	7	7	7
SIM503	0	3988	169	159	36	153	8	3	8	8
SIM504	0	3985	148	188	25	166	8	1	2	2
SIM505	0	3948	148	164	20	163	10	1	5	5
SIM506	0	3965	155	171	48	163	3	5	3	3
SIM507	0	4004	185	158	19	153	0	5	8	8
SIM508	0	3896	183	181	45	175	4	1	7	7
SIM509	0	3955	177	140	44	174	2	4	8	8
SIM510	0	3968	146	151	31	188	7	4	13	13
SIM511	0	4029	169	149	35	160	3	1	6	6
SIM512	0	3969	162	176	31	152	5	8	6	6
SIM513	0	3950	186	158	25	186	9	8	8	8
SIM514	0	3923	163	154	45	173	5	0	4	4
SIM515	0	3947	148	174	22	185	4	2	9	9
SIM516	0	3969	152	167	28	145	7	3	8	8
SIM517	0	3969	172	180	49	170	1	2	11	11
SIM518	0	3950	138	155	41	167	2	6	7	7
SIM519	0	3936	193	167	28	156	9	7	9	9
SIM520	0	3988	168	142	31	173	0	10	17	17
SIM521	0	3939	150	159	42	170	0	4	10	10
SIM522	0	3917	187	182	28	171	2	6	6	6
SIM523	0	3978	187	162	36	142	7	3	14	14
SIM524	0	3965	164	162	20	162	7	9	14	14
SIM525	0	3971	169	151	24	177	9	4	10	10
SIM526	0	3976	148	172	25	172	6	3	10	10
SIM527	0	3958	185	176	26	158	3	10	1	1
SIM528	0	3969	170	153	34	162	4	1	7	7
SIM529	0	3935	170	157	30	170	4	4	8	8
SIM530	0	3959	168	179	28	142	5	0	8	8
SIM531	0	4007	166	149	19	141	4	9	8	8
SIM532	0	3930	170	174	60	164	6	0	17	17
SIM533	0	3972	169	155	28	164	5	3	9	9
SIM534	0	4000	159	167	38	184	2	4	2	2
SIM535	0	3924	180	149	17	164	2	0	9	9
SIM536	0	3931	163	179	25	180	0	7	9	9
SIM537	0	3960	171	184	34	169	2	4	4	4
SIM538	0	3904	153	203	46	176	3	5	12	12
SIM539	0	3969	171	152	31	174	3	5	9	9
SIM540	0	3990	174	175	33	160	6	9	9	9
SIM541	0	4009	159	160	21	163	9	0	8	8
SIM542	0	3977	167	155	42	168	6	7	5	5
SIM543	0	3963	153	167	27	181	4	1	16	16
SIM544	0	3953	177	168	41	172	3	2	12	12
SIM545	0	3916	200	147	40	174	7	3	5	5
SIM546	0	3910	166	186	21	173	7	5	11	11
SIM547	0	3961	156	171	38	158	3	2	5	5
SIM548	0	4025	152	168	26	169	4	3	18	18
SIM549	0	3905	188	152	25	201	6	3	4	4
